Name, ExactMolWt, NumVE, HeavyAtom#, NHOH#, NOC#, NumHAcc#, NumHDo#, NumHeteroatoms, fr_Al_COO, fr_Al_OH, fr_Al_OH_noTert, fr_COO, fr_COO2, fr_C_O, fr_C_O_noCOO, fr_NH0, fr_NH1, fr_NH2, fr_allylic_oxid, fr_dihydropyridine, fr_methoxy, fr_nitrile, fr_nitro, fr_nitroso, fr_piperdine, MetalAN, #linker, #unit, IP, EA, H-L gap
Fe_Py_8_3 [1742.251, 588, 127, 0, 18, 18, 0, 21, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 8, 3, 5.758, 4.119, 0.055]
Fe_Py_8_4 [2354.33, 794, 172, 0, 24, 24, 0, 28, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 8, 4, 5.612, 4.295, 0.045]
Fe_DHP_2_2 [1066.235, 366, 76, 4, 12, 12, 4, 14, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 8, 4, 0, 0, 0, 0, 0, 26, 2, 2, 5.514, 3.25, 0.069]
Fe_DHP_2_3 [1610.345, 552, 115, 6, 18, 18, 6, 21, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 12, 6, 0, 0, 0, 0, 0, 26, 2, 3, 5.325, 3.537, 0.041]
Fe_DHP_2_4 [2154.455, 738, 154, 8, 24, 24, 8, 28, 0, 0, 0, 0, 0, 0, 0, 16, 8, 0, 16, 8, 0, 0, 0, 0, 0, 26, 2, 4, 5.21, 3.709, 0.027]
Fe_DHP_4_2 [1090.235, 374, 78, 4, 12, 12, 4, 14, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 8, 4, 0, 0, 0, 0, 0, 26, 4, 2, 5.48, 3.306, 0.071]
Fe_DHP_4_3 [1658.345, 568, 119, 6, 18, 18, 6, 21, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 12, 6, 0, 0, 0, 0, 0, 26, 4, 3, 5.277, 3.6, 0.056]
Fe_DHP_4_4 [2226.455, 762, 160, 8, 24, 24, 8, 28, 0, 0, 0, 0, 0, 0, 0, 16, 8, 0, 16, 8, 0, 0, 0, 0, 0, 26, 4, 4, 5.168, 3.776, 0.037]
Fe_DHP_6_2 [1114.235, 382, 80, 4, 12, 12, 4, 14, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 8, 4, 0, 0, 0, 0, 0, 26, 6, 2, 5.46, 3.362, 0.073]
Fe_DHP_6_3 [1706.345, 584, 123, 6, 18, 18, 6, 21, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 12, 6, 0, 0, 0, 0, 0, 26, 6, 3, 5.251, 3.662, 0.062]
