IP, EA, H-L gap
[5.6726, 3.4636, 0.099249954042]
[5.4012, 3.7818, 0.0647567966]
[5.2589, 3.957, 0.050027280233]
[6.1614, 3.7465, 0.099442390399]
[5.91, 4.0493, 0.104674355987]
[5.7769, 4.2349, 0.048194013501]
[6.1106, 3.7766, 0.092046561565]
[5.8449, 4.0855, 0.101565180913]
[5.7055, 4.265, 0.051483420518]
[6.0719, 3.8138, 0.092528622822]
[5.802, 4.1229, 0.096956379487]
[5.6601, 4.3003, 0.052762995148]
[6.0424, 3.8464, 0.085846983325]
[5.7675, 4.1564, 0.092941570049]
[5.6263, 4.3304, 0.054165984438]
[6.2596, 3.819, 0.098759090305]
[6.0317, 4.1549, 0.052386407542]
[5.9019, 4.3476, 0.03316014478]
[6.1953, 3.8488, 0.101671046479]
[5.9512, 4.176, 0.054072340063]
[5.8138, 4.3618, 0.038101577465]
[6.1509, 3.8827, 0.103188282409]
[5.8976, 4.2072, 0.057409585093]
[5.7573, 4.3885, 0.04277645296]
[6.1175, 3.9115, 0.099710576072]
[5.8562, 4.236, 0.059099725327]
[5.7148, 4.413, 0.046323065054]
[5.6437, 3.2432, 0.085504777716]
[5.4014, 3.5457, 0.040709897807]
[5.2483, 3.7115, 0.022034780919]
[5.6157, 3.3025, 0.082016465007]
[5.3691, 3.6137, 0.042600274662]
[5.2208, 3.7817, 0.027621732518]
[5.5991, 3.3586, 0.083308698191]
[5.3509, 3.6769, 0.045446384008]
[5.2032, 3.8455, 0.032812745961]
[5.5846, 3.4062, 0.083754950392]
[5.3305, 3.7267, 0.047842502176]
[5.1898, 3.898, 0.038409931062]
[5.6564, 3.2308, 0.086053306879]
[5.3974, 3.5267, 0.042978538502]
[5.2424, 3.6927, 0.025194145818]
[5.6279, 3.2915, 0.084654961021]
[5.369, 3.5971, 0.045505356132]
[5.2123, 3.764, 0.028667381955]
[5.6137, 3.353, 0.086848899645]
[5.3447, 3.6587, 0.048286180324]
[5.1954, 3.8285, 0.03515047541]
[5.5835, 3.391, 0.092998739903]
[5.331, 3.7129, 0.050978255093]
[5.1809, 3.8823, 0.04121423762]
[6.4197, 3.9999, 0.098129929712]
[6.2084, 4.34, 0.053872824778]
[6.0868, 4.5379, 0.035390287586]
[6.3527, 4.0168, 0.089720901618]
[6.116, 4.3456, 0.052810822428]
[5.9833, 4.5345, 0.037650542231]
[6.3042, 4.0418, 0.083495753422]
[6.0536, 4.3697, 0.054182120303]
[5.9168, 4.5518, 0.040725883368]
[6.2643, 4.068, 0.078064531481]
[6.0055, 4.3893, 0.054691836547]
[5.8665, 4.5676, 0.042988786368]
[6.0294, 3.1877, 0.005697054292]
[5.5984, 3.5016, 0.020859452569]
[5.4376, 3.6783, 0.001449416056]
[5.9205, 3.2156, 0.012137862851]
[5.6137, 3.6078, 0.005388798439]
[5.487, 3.8189, 0.001813453771]
[5.8988, 3.2742, 0.008797142156]
[5.6311, 3.7015, 0.000522210043]
[5.4708, 3.8865, 0.002921081344]
[5.9495, 3.361, 0.000646360406]
[5.6143, 3.7579, 0.000712388708]
[5.4568, 3.9427, 0.003048403287]
[6.2292, 3.5486, 0.009439281279]
[5.9332, 3.9178, 0.012392428498]
[5.7927, 4.096, 0.000398679704]
[6.1832, 3.5933, 0.006779881516]
[5.8811, 3.9663, 0.00804606621]
[5.7393, 4.1439, 0.000493381266]
[6.1484, 3.6396, 0.004837766923]
[5.8465, 4.0157, 0.005319055928]
[5.706, 4.1924, 0.000496695116]
[6.1144, 3.6785, 0.005701404865]
[5.818, 4.0574, 0.003706232309]
[5.6814, 4.2331, 0.001403633152]
[5.4693, 3.1283, 0.000172595265]
[5.2479, 3.4474, 0.006270466939]
[5.1101, 3.5628, 0.001358250911]
[5.4345, 3.1915, 2.0686026e-05]
[5.2166, 3.539, 0.000124628342]
[5.1203, 3.7071, 0.001302156637]
[5.4252, 3.2525, 5.633663e-06]
[5.2015, 3.6059, 6.1763062e-05]
[5.1045, 3.7731, 0.002645385452]
[5.4055, 3.3004, 7.693933e-06]
[5.1947, 3.668, 2.8846097e-05]
[5.0984, 3.8369, 0.00171801574]
[6.1617, 3.6243, 0.007905791317]
[5.8061, 3.9121, 0.024272622337]
[5.6755, 4.0737, 0.001769631652]
[6.1233, 3.6619, 0.005170500682]
[5.8548, 4.0019, 0.004499778145]
[5.6619, 4.1339, 0.006955128229]
[6.0916, 3.6999, 0.003964236231]
[5.8172, 4.0451, 0.004217461905]
[5.6744, 4.2097, 0.001155485985]
[6.0636, 3.7335, 0.003662461116]
