IP, EA, H-L gap
[4.869, 2.9523, 3.1799028e-05]
[4.6442, 3.2547, 1.5032529e-05]
[4.5633, 3.4106, 0.000674810211]
[4.5559, 2.4164, 0.008999617878]
[4.3112, 2.6666, 0.002788546947]
[4.2181, 2.8125, 0.001295065055]
[4.5361, 2.4781, 0.003202679656]
[4.2596, 2.7088, 0.001110151853]
[4.1814, 2.8743, 0.000789101119]
[4.523, 2.5407, 0.00256594359]
[4.2545, 2.7878, 0.000780279984]
[4.1774, 2.9525, 0.000729373074]
[4.5139, 2.5992, 0.002117716506]
[4.2567, 2.8627, 0.000451776341]
[4.1819, 3.0273, 0.000851615633]
[4.9498, 2.9784, 0.000837224235]
[4.7037, 3.2041, 9.624309e-06]
[4.6631, 3.3417, 0.001370767572]
[4.9091, 3.0149, 4.0199318e-05]
[4.6583, 3.2433, 1.0295994e-05]
[4.59, 3.3762, 0.001546353129]
[4.8817, 3.0516, 2.1635774e-05]
[4.6318, 3.2845, 1.5894434e-05]
[4.5629, 3.4211, 0.001496148161]
[4.8604, 3.086, 1.7803071e-05]
[4.6134, 3.3237, 5.657681e-06]
[4.5438, 3.4622, 0.001509354539]
[4.7278, 2.5924, 0.002319891759]
[4.5375, 2.897, 0.004408508663]
[4.4477, 3.0432, 0.001061732038]
[4.6976, 2.6442, 5.8377757e-05]
[4.4957, 2.9573, 2.6065052e-05]
[4.405, 3.1043, 1.3975129e-05]
[4.6779, 2.6995, 2.9938917e-05]
[4.4718, 3.0178, 2.1092966e-05]
[4.3831, 3.1661, 1.6419153e-05]
[4.6635, 2.7515, 3.3403515e-05]
[4.4564, 3.0738, 1.4269585e-05]
[4.3703, 3.2224, 0.000446658418]
[4.9918, 2.8879, 0.002491093182]
[4.7021, 3.0483, 4.0386698e-05]
[4.6531, 3.248, 3.2959913e-05]
[4.95, 2.9256, 3.8775849e-05]
[4.6637, 3.1122, 3.5090471e-05]
[4.6062, 3.3007, 0.000359312443]
[4.9182, 2.966, 1.6631752e-05]
[4.642, 3.1774, 2.9063391e-05]
[4.5803, 3.3589, 0.000489103823]
[4.8944, 3.0058, 1.6594864e-05]
[4.6263, 3.2357, 3.0720448e-05]
[4.5626, 3.4119, 0.000694225228]
[4.9451, 2.8266, 0.007630164655]
[4.7573, 3.1268, 0.001687342052]
[4.6786, 3.2818, 0.001621286828]
[4.903, 2.8644, 0.002321966636]
[4.707, 3.1779, 0.001894923193]
[4.6215, 3.3274, 0.002059719311]
[4.8729, 2.9079, 0.00205030929]
[4.6697, 3.2236, 0.001306237048]
[4.5838, 3.3724, 0.00181764574]
[4.8505, 2.9504, 0.00161320117]
[4.6922, 3.271, 0.004846795738]
[4.6953, 3.4707, 0.00243216455]
[4.6943, 2.571, 0.00240145417]
[4.4794, 2.8461, 0.000218215813]
[4.4013, 3.0049, 0.00082769993]
[4.6671, 2.6247, 4.7938189e-05]
[4.4429, 2.9105, 0.00043414157]
[4.3611, 3.0659, 0.000393371853]
[4.6486, 2.6802, 4.3981957e-05]
[4.4241, 2.9744, 0.000294516479]
[4.343, 3.1299, 0.000323612458]
[4.635, 2.7323, 2.8254236e-05]
[4.414, 3.0352, 0.000253172607]
[4.334, 3.1896, 0.000276558903]
[4.7569, 2.6417, 0.002373274176]
[4.5812, 2.9572, 0.004428181682]
[4.4989, 3.1074, 0.001169543672]
[4.7246, 2.6906, 5.1961164e-05]
[4.5335, 3.0091, 0.000481543497]
[4.4498, 3.1599, 0.000521027608]
[4.7028, 2.7424, 2.369281e-05]
[4.5061, 3.0645, 0.000392831723]
[4.4226, 3.2151, 0.0004118882]
[4.6872, 2.7919, 1.5995481e-05]
[4.4888, 3.1175, 0.000317983338]
[4.4079, 3.2686, 0.000138142932]
[5.0052, 2.9102, 0.002217399598]
[4.8376, 3.2196, 0.000344275217]
[4.7701, 3.3828, 0.000611231233]
[4.9643, 2.9493, 5.3081079e-05]
[4.7769, 3.2587, 2.7718508e-05]
[4.6992, 3.4136, 3.4863799e-05]
[4.933, 2.9895, 3.7446729e-05]
[4.737, 3.3013, 3.6148685e-05]
[4.6572, 3.4534, 0.000190460212]
[4.9094, 3.0283, 2.3525551e-05]
[4.7082, 3.3422, 1.0994583e-05]
[4.6282, 3.4924, 0.000327815052]
[4.6716, 2.5412, 0.000488090868]
[4.4444, 2.8146, 0.000123487647]
[4.3821, 2.9922, 8.7898164e-05]
[4.6425, 2.594, 5.6208842e-05]
[4.4161, 2.8839, 3.0345782e-05]
[4.3385, 3.0446, 2.4156269e-05]
[4.6256, 2.6495, 5.2103817e-05]
[4.4001, 2.9502, 2.1054327e-05]
[4.3227, 3.1101, 0.00010401416]
[4.6154, 2.7068, 3.0476397e-05]
[4.393, 3.0146, 9.879083e-06]
[4.3164, 3.173, 0.000272598938]
[4.7505, 2.6489, 0.002522812605]
[4.4955, 2.8707, 2.4050416e-05]
[4.4468, 3.0598, 0.000531944432]
[4.7199, 2.6981, 1.9056781e-05]
[4.4543, 2.9234, 1.8679535e-05]
[4.3845, 3.092, 0.00133044326]
[4.6991, 2.749, 1.9954259e-05]
[4.4419, 2.9933, 7.794193e-06]
[4.371, 3.1601, 0.001494804468]
[4.684, 2.7986, 3.76701e-06]
[4.4342, 3.0567, 9.890533e-06]
[4.363, 3.2206, 0.001651923573]
[4.5814, 2.4718, 0.00384979006]
[4.3647, 2.7407, 0.000902947528]
[4.2864, 2.8957, 0.000971582494]
[4.5555, 2.5293, 0.000671368695]
[4.329, 2.804, 0.000302558025]
[4.2504, 2.9605, 0.000658315172]
[4.5401, 2.5875, 0.000626664584]
[4.3156, 2.8733, 0.000218889066]
[4.2367, 3.0283, 0.000935425946]
[4.5289, 2.6421, 0.000473108326]
[4.3085, 2.9367, 0.000126687336]
[4.2318, 3.0922, 0.001235283845]
[4.9841, 2.88, 0.007103019577]
[4.739, 3.1135, 0.000999333247]
[4.6905, 3.3025, 0.00157874849]
[4.9447, 2.9178, 0.002200821188]
[4.6638, 3.1234, 0.000880650033]
[4.5997, 3.3013, 0.000612530135]
[4.9137, 2.9591, 0.001783469716]
[4.6421, 3.1853, 0.000779396326]
[4.5743, 3.358, 0.000617496831]
[4.8914, 3.0005, 0.001476914204]
[4.627, 3.2425, 0.000659064262]
[4.5573, 3.4106, 0.000718285419]
[5.0698, 2.9466, 0.004698476092]
[4.9011, 3.2739, 0.005121854262]
[4.8349, 3.4401, 0.003949170997]
[5.0182, 2.9785, 0.002424783045]
[4.8276, 3.2995, 0.001740699028]
[4.7517, 3.4589, 0.001933519106]
[4.9837, 3.0167, 0.002197563101]
[4.7836, 3.3381, 0.00132452492]
[4.7051, 3.4948, 0.001749881552]
[4.9575, 3.0558, 0.001864375828]
[4.7536, 3.3787, 0.000849550344]
[4.6739, 3.5322, 0.001587503224]
[4.527, 2.4173, 0.0152861866]
[4.3438, 2.7297, 0.010552822386]
[4.2417, 2.8575, 0.001809963113]
[4.5104, 2.4806, 0.006434314995]
[4.313, 2.7963, 0.006079263688]
[4.2172, 2.9332, 0.001416735308]
[4.497, 2.541, 0.005166233798]
[4.2992, 2.8645, 0.004520795485]
[4.2068, 3.0044, 0.001739889753]
[4.4892, 2.5982, 0.004142078199]
[4.2913, 2.9265, 0.003579602877]
[4.2041, 3.0697, 0.001980551544]
[4.5268, 2.4029, 0.011665438467]
[4.3184, 2.6948, 0.009691935276]
[4.2198, 2.8281, 0.004478100701]
[4.5096, 2.4682, 0.00540254861]
[4.296, 2.7714, 0.002152953475]
[4.1993, 2.9094, 0.000971632547]
[4.5018, 2.5354, 0.004584382992]
[4.2838, 2.842, 0.001437618034]
[4.1912, 2.9834, 0.001361497155]
[4.4866, 2.5864, 0.003965215994]
[4.2788, 2.9073, 0.001002249741]
[4.1894, 3.0501, 0.001658502443]
[5.2323, 3.1621, 0.007350405228]
[5.0815, 3.4638, 0.005606054341]
[5.0151, 3.6241, 0.004078204462]
[5.1752, 3.1811, 0.002269241141]
[4.9969, 3.479, 0.001595137955]
[4.9222, 3.6341, 0.00224190507]
[5.1333, 3.2109, 0.001913547389]
[4.9428, 3.5079, 0.001034904546]
[4.8639, 3.6586, 0.001920604524]
[5.1019, 3.2405, 0.001505859292]
[4.902, 3.5373, 0.00087803997]
[4.8221, 3.6851, 0.001691242786]
[6.4772, 2.5502, 1.216372397828]
[6.1365, 2.9709, 0.965651748425]
[5.9516, 3.1973, 0.855886686536]
[6.4318, 2.6047, 1.231912474373]
[6.0953, 3.013, 0.998666708135]
[5.9133, 3.2337, 0.892924568181]
[6.3856, 2.6724, 1.223956301042]
[6.0575, 3.0782, 1.004302304201]
[5.8802, 3.2955, 0.908500253532]
[6.3443, 2.7378, 1.212422835108]
[6.024, 3.1394, 1.003496600774]
[5.8532, 3.3504, 0.917515294431]
[6.5539, 2.9473, 1.095224778409]
[6.3219, 3.2705, 0.96814071385]
[6.1541, 3.5033, 0.844092231928]
[6.4978, 2.9767, 1.107651282308]
[6.2599, 3.2989, 0.985916127673]
[6.0943, 3.5165, 0.875569136251]
[6.4566, 3.0167, 1.114522906081]
[6.2107, 3.3406, 0.990146837606]
[6.0486, 3.5512, 0.89153332322]
[6.4194, 3.0568, 1.115989687221]
[6.1678, 3.3843, 0.987520295357]
[6.0092, 3.5885, 0.899014855671]
[5.6481, 2.5353, 1.006132611039]
[5.4412, 2.7997, 0.925710026238]
[5.316, 3.0181, 0.808022465153]
[5.6219, 2.5824, 1.016121634095]
[5.4156, 2.8104, 0.997977053222]
[5.2882, 3.0405, 0.859979024815]
[5.6064, 2.6414, 1.017006551701]
[5.3947, 2.8887, 0.980940869899]
[5.2763, 3.1127, 0.861257068055]
[5.5893, 2.6976, 1.009681188994]
[5.384, 2.9674, 0.956428312227]
[5.2634, 3.1869, 0.850706128777]
[6.433, 3.0915, 1.102533650711]
[6.315, 3.3149, 1.134277403623]
[6.1189, 3.5221, 0.910876289877]
[6.3866, 3.1235, 1.107826965502]
[6.2547, 3.3485, 1.148304934005]
[6.0929, 3.5339, 0.951610460734]
[6.352, 3.1568, 1.112318241599]
[6.195, 3.3878, 1.121894447959]
[6.0382, 3.5729, 0.94510456396]
[6.3201, 3.1891, 1.110323782764]
[6.1446, 3.4271, 1.086138785965]
[5.9929, 3.6101, 0.937239353044]
[6.2699, 2.7132, 1.073178944513]
[5.9867, 3.0718, 0.877249892377]
[5.8249, 3.2769, 0.781242310067]
[6.2312, 2.7512, 1.089588698898]
[5.9548, 3.11, 0.908172815358]
[5.7981, 3.3091, 0.824824528969]
[6.2032, 2.8015, 1.097366894003]
[5.9293, 3.1596, 0.923297263475]
[5.778, 3.3563, 0.849099607383]
[6.1776, 2.8505, 1.09929914625]
[5.9078, 3.2097, 0.930581798154]
[5.7578, 3.4035, 0.861745639335]
[6.5678, 3.0164, 1.096267491243]
[6.533, 3.1143, 1.339104856116]
[6.329, 3.4116, 1.002415514064]
[6.5115, 3.0382, 1.109610455501]
[6.4236, 3.187, 1.25304422055]
[6.2282, 3.4572, 0.985414373923]
[6.4695, 3.0732, 1.116416006224]
[6.3393, 3.2612, 1.185866151237]
[6.1534, 3.5137, 0.969782978705]
[6.4321, 3.1092, 1.117517052403]
[6.2724, 3.3278, 1.135889516931]
[6.0946, 3.5659, 0.957517005054]
[6.5114, 2.9603, 1.08622504465]
[6.2678, 3.3059, 0.925451667105]
[6.1153, 3.5179, 0.828038815356]
[6.4614, 2.9811, 1.105660709657]
[6.1976, 3.341, 0.928268948879]
[6.0448, 3.5445, 0.8425961188]
[6.4211, 3.0185, 1.111945555451]
[6.1569, 3.3741, 0.942947484407]
[6.0044, 3.5717, 0.865275094342]
[6.3867, 3.0576, 1.113663385207]
[6.2223, 3.2862, 1.067664081382]
[5.797, 3.6181, 0.302112145406]
[6.171, 2.6892, 1.059984390744]
[5.9439, 2.9911, 0.936646441573]
[5.778, 3.2139, 0.811332454684]
[6.1342, 2.7283, 1.07607125063]
[5.9094, 3.042, 0.954226853794]
[5.7523, 3.2536, 0.846072885415]
[6.11, 2.7785, 1.083735140956]
[5.8847, 3.0988, 0.961901844237]
[5.7319, 3.3068, 0.863328659447]
[6.0911, 2.8287, 1.086960628174]
[5.8617, 3.1565, 0.961044723692]
[5.7138, 3.36, 0.871798881435]
[6.1848, 2.7601, 1.071339177676]
[5.9516, 3.131, 0.87096628719]
[5.8142, 3.342, 0.773485444001]
[6.1429, 2.7964, 1.08227582403]
[5.9189, 3.1628, 0.902061748323]
[5.7848, 3.3663, 0.818119140793]
[6.1174, 2.8434, 1.089694837407]
[5.8943, 3.2072, 0.917343126034]
[5.7604, 3.4064, 0.841795867693]
[6.0952, 2.8898, 1.091941517462]
[5.8721, 3.2533, 0.925139755584]
[5.7429, 3.4505, 0.855574611195]
[6.5806, 3.0355, 1.10332597948]
[6.3417, 3.394, 0.927917863839]
[6.193, 3.6184, 0.821851415042]
[6.5236, 3.0611, 1.114984235721]
[6.2707, 3.4148, 0.940477073384]
[6.1253, 3.6227, 0.85413773383]
[6.4812, 3.0952, 1.120762650494]
[6.2257, 3.4436, 0.954647343301]
[6.0798, 3.6452, 0.876326982113]
[6.4442, 3.1304, 1.12224471025]
[6.1852, 3.4759, 0.959607001802]
[6.039, 3.672, 0.88762284391]
[6.253, 2.6359, 1.138139817051]
[6.0191, 2.9438, 1.001080405824]
[5.8207, 3.1963, 0.844224864315]
[6.2247, 2.6791, 1.157001172948]
[5.9742, 3.0036, 1.001656417555]
[5.8011, 3.2252, 0.871065639738]
[6.1983, 2.7343, 1.158612872573]
[5.9424, 3.0672, 1.001214839625]
[5.7766, 3.2831, 0.884178043439]
[6.1664, 2.79, 1.151993350653]
[5.9119, 3.1317, 0.992330354021]
[5.7536, 3.3406, 0.888995781492]
[6.3419, 2.7762, 1.064133435406]
[6.1469, 3.0114, 1.025854763513]
[5.9381, 3.2808, 0.83688734562]
[6.2994, 2.8107, 1.080860137092]
[6.1259, 3.0321, 1.082036422785]
[5.9394, 3.2681, 0.91119974332]
[6.2685, 2.8567, 1.089174367448]
[6.0785, 3.1022, 1.064455411873]
[5.9006, 3.3298, 0.913741676061]
[6.2409, 2.9033, 1.092599247772]
[6.0364, 3.1686, 1.042580154184]
[5.8663, 3.3871, 0.911147703643]
[6.1402, 2.5943, 1.084867773471]
[5.903, 2.8983, 0.954125202461]
[5.7365, 3.1175, 0.834511563117]
[6.11, 2.6455, 1.089503715328]
[5.8736, 2.9514, 0.974116255388]
[5.7127, 3.1615, 0.86542913955]
[6.0883, 2.6988, 1.096812802522]
[5.8547, 3.0093, 0.986139706552]
[5.6979, 3.2178, 0.883915399373]
[6.0676, 2.752, 1.097655544453]
[5.8339, 3.0707, 0.982840453859]
[5.682, 3.2763, 0.889236653328]
[6.553, 3.0141, 1.103644842362]
[6.3989, 3.2442, 1.099109560328]
[6.2009, 3.5153, 0.898652417056]
[6.5046, 3.0351, 1.122743732808]
[6.3783, 3.2226, 1.188594259475]
[6.1904, 3.4723, 0.97539455356]
[6.464, 3.0709, 1.128121013837]
[6.3064, 3.2858, 1.147986381887]
[6.1262, 3.5219, 0.966560011615]
[6.4275, 3.1076, 1.128724974803]
[6.2474, 3.3461, 1.111547909237]
[6.0737, 3.5709, 0.956935920411]
[6.6644, 3.0683, 1.125394666155]
[6.4273, 3.4462, 0.941071682442]
[6.2811, 3.6694, 0.841209704279]
[6.6038, 3.0927, 1.134922063687]
[6.354, 3.4561, 0.960755401701]
[6.2023, 3.6721, 0.861616099562]
[6.5559, 3.1257, 1.13786843358]
[6.299, 3.483, 0.969260378459]
[6.1475, 3.6902, 0.880609068641]
[6.5124, 3.162, 1.13591062716]
[6.2526, 3.5151, 0.970975558269]
[6.1016, 3.7155, 0.890588571372]
[5.8733, 2.5335, 1.021171267924]
[5.6577, 2.8939, 0.835224255404]
[5.5096, 3.086, 0.74276919946]
[5.856, 2.5831, 1.040093956208]
[5.641, 2.9422, 0.866840045867]
[5.5015, 3.1312, 0.786951681701]
[5.8601, 2.654, 1.048052332115]
[5.629, 3.0008, 0.881260453969]
[5.4935, 3.1887, 0.809213407487]
[5.8272, 2.6937, 1.049514143046]
[5.6172, 3.0576, 0.887570580519]
[5.4897, 3.2462, 0.822987112392]
[5.8871, 2.5122, 1.038766146264]
[5.6528, 2.8629, 0.85420622869]
[5.5006, 3.0559, 0.757507457317]
[5.8705, 2.5682, 1.053524324554]
[5.6393, 2.9171, 0.881534521157]
[5.4899, 3.1054, 0.796852908371]
[5.8606, 2.6333, 1.059780693914]
[5.6264, 2.978, 0.895640102672]
[5.4869, 3.1671, 0.820203685721]
[5.8409, 2.6825, 1.062643248966]
[5.616, 3.038, 0.901151275667]
[5.4826, 3.2269, 0.832742259507]
[6.8198, 3.2971, 1.108997035718]
[6.6022, 3.6472, 0.940621949582]
[6.4631, 3.8774, 0.835786517899]
[6.7536, 3.3024, 1.127155142351]
[6.5101, 3.6478, 0.95416707664]
[6.3685, 3.8574, 0.867962779215]
[6.6996, 3.3268, 1.133534399485]
[6.4478, 3.6622, 0.966986992893]
[6.3035, 3.8611, 0.889759410021]
[6.6515, 3.3511, 1.133439778852]
[6.3927, 3.681, 0.971425724344]
[6.2458, 3.8723, 0.900174271994]
