Name, ExactMolWt, NumVE, HeavyAtom#, NHOH#, NOC#, NumHAcc#, NumHDo#, NumHeteroatoms, fr_Al_COO, fr_Al_OH, fr_Al_OH_noTert, fr_COO, fr_COO2, fr_C_O, fr_C_O_noCOO, fr_NH0, fr_NH1, fr_NH2, fr_allylic_oxid, fr_dihydropyridine, fr_methoxy, fr_nitrile, fr_nitro, fr_nitroso, fr_piperdine, MetalAN, #linker, #unit, IP, EA,  H-L gap
H_6_8 [2970.87, 1066, 234, 16, 32, 32, 16, 32, 0, 0, 0, 0, 0, 0, 0, 16, 16, 0, 32, 0, 0, 0, 0, 0, 0, 6, 8, 5.341, 3.624, 0.714]
H_6_9 [3350.97, 1202, 264, 18, 36, 36, 18, 36, 0, 0, 0, 0, 0, 0, 0, 18, 18, 0, 36, 0, 0, 0, 0, 0, 0, 6, 9, 5.302, 3.669, 0.706]
H_6_10 [3731.08, 1338, 294, 20, 40, 40, 20, 40, 0, 0, 0, 0, 0, 0, 0, 20, 20, 0, 40, 0, 0, 0, 0, 0, 0, 6, 10, 5.27, 3.707, 0.701]
H_8_2 [714.23, 258, 56, 4, 8, 8, 4, 8, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 8, 0, 0, 0, 0, 0, 0, 8, 2, 6.091, 2.724, 1.061]
H_8_3 [1118.33, 402, 88, 6, 12, 12, 6, 12, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 12, 0, 0, 0, 0, 0, 0, 8, 3, 5.793, 3.113, 0.891]
H_8_4 [1522.44, 546, 120, 8, 16, 16, 8, 16, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 16, 0, 0, 0, 0, 0, 0, 8, 4, 5.632, 3.321, 0.822]
H_8_5 [1926.55, 690, 152, 10, 20, 20, 10, 20, 0, 0, 0, 0, 0, 0, 0, 10, 10, 0, 20, 0, 0, 0, 0, 0, 0, 8, 5, 5.526, 3.454, 0.786]
H_8_6 [2330.65, 834, 184, 12, 24, 24, 12, 24, 0, 0, 0, 0, 0, 0, 0, 12, 12, 0, 24, 0, 0, 0, 0, 0, 0, 8, 6, 5.451, 3.547, 0.766]
H_8_7 [2734.76, 978, 216, 14, 28, 28, 14, 28, 0, 0, 0, 0, 0, 0, 0, 14, 14, 0, 28, 0, 0, 0, 0, 0, 0, 8, 7, 5.392, 3.615, 0.751]
H_8_8 [3138.87, 1122, 248, 16, 32, 32, 16, 32, 0, 0, 0, 0, 0, 0, 0, 16, 16, 0, 32, 0, 0, 0, 0, 0, 0, 8, 8, 5.348, 3.67, 0.743]
H_8_9 [3542.97, 1266, 280, 18, 36, 36, 18, 36, 0, 0, 0, 0, 0, 0, 0, 18, 18, 0, 36, 0, 0, 0, 0, 0, 0, 8, 9, 5.312, 3.713, 0.737]
H_8_10 [3947.08, 1410, 312, 20, 40, 40, 20, 40, 0, 0, 0, 0, 0, 0, 0, 20, 20, 0, 40, 0, 0, 0, 0, 0, 0, 8, 10, 5.282, 3.748, 0.732]
Py_2_2 [950.33, 346, 74, 4, 12, 12, 4, 12, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 8, 0, 0, 0, 0, 0, 4, 2, 2, 6.321, 2.901, 0.991]
Py_2_3 [1436.49, 522, 112, 6, 18, 18, 6, 18, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 12, 0, 0, 0, 0, 0, 6, 2, 3, 6.069, 3.239, 0.847]
Py_2_4 [1922.65, 698, 150, 8, 24, 24, 8, 24, 0, 0, 0, 0, 0, 0, 0, 16, 8, 0, 16, 0, 0, 0, 0, 0, 8, 2, 4, 5.906, 3.46, 0.742]
Py_2_5 [2408.81, 874, 188, 10, 30, 30, 10, 30, 0, 0, 0, 0, 0, 0, 0, 20, 10, 0, 20, 0, 0, 0, 0, 0, 10, 2, 5, 5.795, 3.608, 0.678]
Py_2_6 [2894.97, 1050, 226, 12, 36, 36, 12, 36, 0, 0, 0, 0, 0, 0, 0, 24, 12, 0, 24, 0, 0, 0, 0, 0, 12, 2, 6, 5.716, 3.711, 0.642]
Py_2_7 [3381.13, 1226, 264, 14, 42, 42, 14, 42, 0, 0, 0, 0, 0, 0, 0, 28, 14, 0, 28, 0, 0, 0, 0, 0, 14, 2, 7, 5.654, 3.792, 0.615]
Py_2_8 [3867.29, 1402, 302, 16, 48, 48, 16, 48, 0, 0, 0, 0, 0, 0, 0, 32, 16, 0, 32, 0, 0, 0, 0, 0, 16, 2, 8, 5.603, 3.858, 0.595]
Py_2_9 [4353.45, 1578, 340, 18, 54, 54, 18, 54, 0, 0, 0, 0, 0, 0, 0, 36, 18, 0, 36, 0, 0, 0, 0, 0, 18, 2, 9, 5.562, 3.91, 0.582]
Py_2_10 [4839.61, 1754, 378, 20, 60, 60, 20, 60, 0, 0, 0, 0, 0, 0, 0, 40, 20, 0, 40, 0, 0, 0, 0, 0, 20, 2, 10, 5.526, 3.956, 0.57]
Py_4_2 [974.33, 354, 76, 4, 12, 12, 4, 12, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 8, 0, 0, 0, 0, 0, 4, 4, 2, 6.28, 2.928, 1.013]
Py_4_3 [1484.49, 538, 116, 6, 18, 18, 6, 18, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 12, 0, 0, 0, 0, 0, 6, 4, 3, 6.019, 3.276, 0.863]
Py_4_4 [1994.65, 722, 156, 8, 24, 24, 8, 24, 0, 0, 0, 0, 0, 0, 0, 16, 8, 0, 16, 0, 0, 0, 0, 0, 8, 4, 4, 5.858, 3.486, 0.771]
Py_4_5 [2504.81, 906, 196, 10, 30, 30, 10, 30, 0, 0, 0, 0, 0, 0, 0, 20, 10, 0, 20, 0, 0, 0, 0, 0, 10, 4, 5, 5.752, 3.623, 0.721]
Py_4_6 [3014.97, 1090, 236, 12, 36, 36, 12, 36, 0, 0, 0, 0, 0, 0, 0, 24, 12, 0, 24, 0, 0, 0, 0, 0, 12, 4, 6, 5.674, 3.722, 0.691]
Py_4_7 [3525.13, 1274, 276, 14, 42, 42, 14, 42, 0, 0, 0, 0, 0, 0, 0, 28, 14, 0, 28, 0, 0, 0, 0, 0, 14, 4, 7, 5.613, 3.8, 0.67]
