IP, EA, H-L gap
[6.0098, 2.6948, 0.99749115707]
[5.8082, 2.9554, 0.95547872294]
[5.6311, 3.1815, 0.817041923525]
[5.5128, 3.3309, 0.740648569006]
[5.4288, 3.4367, 0.697036537301]
[5.3637, 3.5166, 0.670077663357]
[5.3113, 3.5798, 0.651920441978]
[5.2695, 3.6305, 0.639239397597]
[5.2337, 3.6736, 0.630021893293]
[5.9912, 2.7471, 1.008816328004]
[5.7861, 3.0245, 0.955015221878]
[5.6175, 3.2495, 0.828347169876]
[5.5065, 3.3886, 0.764993394106]
[5.4276, 3.4906, 0.729512925214]
[5.3673, 3.5667, 0.707762724622]
[5.3195, 3.6259, 0.69352329586]
[5.2815, 3.6732, 0.68400127826]
[5.2494, 3.7127, 0.677035927872]
[5.9741, 2.7984, 1.01495372473]
[5.765, 3.0914, 0.947504505575]
[5.6031, 3.3073, 0.834416077336]
[5.499, 3.4445, 0.779522397751]
[5.4232, 3.5403, 0.748978173359]
[5.3667, 3.6125, 0.731340739355]
[5.3229, 3.669, 0.720487100056]
[5.2874, 3.7147, 0.712907253857]
[5.2571, 3.7514, 0.707085765687]
[6.3293, 2.939, 1.006789849349]
[6.1022, 3.2589, 0.88874933449]
[5.9486, 3.4791, 0.779793491313]
[5.8369, 3.6414, 0.700099829901]
[5.7573, 3.7523, 0.653351630524]
[5.6974, 3.8371, 0.622011219574]
[5.6506, 3.9053, 0.599595913476]
[5.6077, 3.9625, 0.583095673931]
[5.5741, 4.0082, 0.571268258131]
[6.2779, 2.9754, 1.014990264732]
[6.0936, 3.2448, 0.972010350808]
[5.9252, 3.4767, 0.831874948123]
[5.815, 3.6287, 0.756458432177]
[5.7336, 3.7391, 0.711876023353]
[5.6736, 3.8224, 0.685175305392]
[5.6269, 3.8853, 0.667627108992]
[5.5871, 3.9379, 0.654879185358]
[5.5535, 3.9819, 0.645548890209]
[6.2466, 3.0144, 1.025408962408]
[6.0525, 3.2925, 0.971803747965]
[5.889, 3.5157, 0.844287156627]
[5.7832, 3.6596, 0.77955745936]
[5.7064, 3.7615, 0.742863098925]
[5.6491, 3.8394, 0.722120041452]
[5.604, 3.8996, 0.708040929802]
[5.5666, 3.9484, 0.698073702091]
[5.5357, 3.9883, 0.690854752031]
[6.2197, 3.053, 1.030955492373]
[6.0156, 3.3443, 0.961564840877]
[5.8585, 3.5595, 0.849643684579]
[5.7559, 3.6955, 0.794825354269]
[5.6837, 3.7925, 0.764711606846]
[5.6295, 3.8656, 0.747275656171]
[5.5864, 3.922, 0.735489718995]
[5.5516, 3.9674, 0.727614985789]
[5.5235, 4.0053, 0.722477909431]
[6.2647, 2.8575, 1.008286175296]
[6.0139, 3.2173, 0.844386770899]
[5.8547, 3.4374, 0.738817682342]
[5.746, 3.583, 0.674933137012]
[5.6683, 3.6902, 0.633491812193]
[5.608, 3.7709, 0.606974269074]
[5.5606, 3.8355, 0.587888034779]
[5.5203, 3.889, 0.572507012967]
[5.4867, 3.9331, 0.561548170515]
[6.224, 2.9017, 1.01563040924]
[5.9845, 3.2766, 0.85685876887]
[5.8293, 3.4833, 0.767278131696]
[5.7253, 3.62, 0.717191577367]
[5.649, 3.7169, 0.686670743365]
[5.5907, 3.7916, 0.666682048143]
[5.5444, 3.8501, 0.652876286499]
[5.5065, 3.8984, 0.64293940792]
[5.4748, 3.9377, 0.635565740271]
[6.1982, 2.9462, 1.026168568163]
[5.9517, 3.3059, 0.876263268501]
[5.7934, 3.5027, 0.794448668132]
[5.6946, 3.6361, 0.750699922197]
[5.6219, 3.7312, 0.724218758846]
[5.5671, 3.8031, 0.707364738221]
[5.5239, 3.8593, 0.696015065677]
[5.4887, 3.9046, 0.687774505656]
[5.4589, 3.9416, 0.681874296879]
[6.1717, 2.9874, 1.031728658522]
[5.9195, 3.3408, 0.884053675863]
[5.7718, 3.5407, 0.809390480623]
[5.6737, 3.6674, 0.771116637385]
[5.6043, 3.7585, 0.748768499912]
[5.5512, 3.8266, 0.734054657515]
[5.5127, 3.8824, 0.724800373044]
[5.4792, 3.925, 0.718103767655]
[5.4515, 3.9602, 0.713270105637]
[5.9522, 2.6164, 0.976830297382]
[5.7213, 2.9249, 0.858041556234]
[5.552, 3.1485, 0.733130019014]
[5.4474, 3.2845, 0.687822471518]
[5.3639, 3.388, 0.645278143937]
[5.2999, 3.4677, 0.613842425592]
[5.2518, 3.5258, 0.601114061173]
